parcel_number,Max End Date,Subsidy Status,parcel_address,numberofunits,num_associated_hud_properties,has_active_rental_license,lhhp_status_type,lhhp_certification_status,lhhp_cert_date,lhhp_cert_expiration_date,lat,lng,council_district,senate_district
011233600,2004-01-01,Inactive,509 REED ST,3.0,1,1,Lead-Safe,Certified,2022/05/07 00:00:00+00,2026/05/07 00:00:00+00,39.93123175484231,-75.15364449946925,1,1
011237000,2003-01-01,Inactive,514 REED ST,,1,0,,Not Certified,,,39.930916097604744,-75.15372917560055,1,1
011347610,2004-01-01,Inactive,1437 S 6th St,4.0,1,1,Lead-Safe,Certified,2022/02/25 00:00:00+00,2026/02/25 00:00:00+00,39.93010801130374,-75.15473508079008,1,1
011393600,2020-01-01,Inactive,423 McClellan St,,1,0,,Not Certified,,,39.92577937712513,-75.15338700307353,1,1
012051600,2004-01-01,Inactive,612 CROSS ST,1.0,1,1,Lead-Safe,Certified,2023/02/10 00:00:00+00,2027/02/10 00:00:00+00,39.92924986383928,-75.15587909795676,1,1
012159800,2004-01-01,Inactive,636 SIGEL ST,1.0,1,1,Lead-Safe,Certified,2022/02/02 00:00:00+00,2026/02/02 00:00:00+00,39.92558290724929,-75.15722361049694,1,1
021019405,2004-01-01,Inactive,1216 CHRISTIAN ST,5.0,1,1,Lead-Safe,Certified,2023/09/29 00:00:00+00,2027/09/29 00:00:00+00,39.93944637200507,-75.16312227963452,2,1
021310805,2024-01-01,Inconclusive,1130 LATONA ST,,1,0,,Not Certified,,,39.93418551953015,-75.16329978975811,1,1
031115000,2022-01-01,Inactive,5913 SPRUCE ST,1.0,7,1,Lead-Safe,Expired,2021/06/02 00:00:00+00,2025/06/02 00:00:00+00,39.95661875615985,-75.24035228671994,3,8
031127800,2022-01-01,Inactive,120 S 59TH ST,1.0,7,1,Lead-Safe,Certified,2021/09/22 00:00:00+00,2025/09/22 00:00:00+00,39.95955183034673,-75.23947339619774,3,8
032013600,2022-01-01,Inactive,6041 DELANCEY ST,1.0,7,1,Lead-Safe,Expired,2021/06/09 00:00:00+00,2025/06/09 00:00:00+00,39.95629796360103,-75.24324165031243,3,8
032022200,2022-01-01,Inactive,5942 DELANCEY ST,1.0,7,1,Lead-Safe,Certified,2021/12/10 00:00:00+00,2025/12/10 00:00:00+00,39.95584126491555,-75.24125096013626,3,8
032026600,2003-01-01,Inactive,6128 DELANCEY ST,,1,0,,Not Certified,,,39.956227077095306,-75.24488468007407,3,8
032064700,2003-01-01,Inactive,5952 OSAGE AVE,1.0,1,1,Lead-Safe,Expired,2021/03/13 00:00:00+00,2025/03/13 00:00:00+00,39.95476387273907,-75.2417193543751,3,8
041015800,2022-01-01,Inactive,5432 SPRING ST,1.0,7,1,Lead-Safe,Expired,2021/05/18 00:00:00+00,2025/05/18 00:00:00+00,39.96396914993883,-75.22895889851695,4,7
041020600,2022-01-01,Inactive,5427 SPRING ST,1.0,7,1,Lead-Safe,Certified,2021/09/23 00:00:00+00,2025/09/23 00:00:00+00,39.964177172275924,-75.22872153661703,4,7
041054900,2022-01-01,Inactive,5502 WESTMINSTER AVE,1.0,7,1,Lead-Safe,Certified,2021/09/27 00:00:00+00,2025/09/27 00:00:00+00,39.96747358801113,-75.23021172178284,4,7
041077300,2004-01-01,Inactive,5513 POPLAR ST,,1,0,,Not Certified,,,39.97006315909698,-75.23099889357574,4,7
041143000,2022-01-01,Inactive,130 N CONESTOGA ST,1.0,7,1,Lead-Safe,Expired,2021/04/07 00:00:00+00,2025/04/07 00:00:00+00,39.96290775051366,-75.2294553966852,4,7
041184400,2022-01-01,Inactive,201 N VOGDES ST,1.0,7,1,Lead-Safe,Expired,2021/04/27 00:00:00+00,2025/04/27 00:00:00+00,39.96405127545641,-75.2312068280904,4,7
041184500,2022-01-01,Inactive,203 N VOGDES ST,1.0,7,1,Lead-Safe,Expired,2021/05/18 00:00:00+00,2025/05/18 00:00:00+00,39.964095227612944,-75.23120644787404,4,7
041201200,2022-01-01,Inactive,516 N ALLISON ST,1.0,7,1,Lead-Safe,Expired,2021/06/02 00:00:00+00,2025/06/02 00:00:00+00,39.96794076240081,-75.2315398977649,4,7
041202400,2003-01-01,Inactive,540 N ALLISON ST,,1,0,Lead-Safe,Expired,2020/10/15 00:00:00+00,2024/10/15 00:00:00+00,39.96842603138623,-75.23163767090095,4,7
041255100,2025-01-01,Inactive,5421 LANSDOWNE AVE,2.0,1,1,Lead-Safe,Certified,2025/02/06 00:00:00+00,2029/02/06 00:00:00+00,39.97721099034482,-75.23059824512855,4,7
041255201,2025-01-01,Inactive,5423 LANSDOWNE AVE,2.0,1,1,Lead-Safe,Certified,2025/03/03 00:00:00+00,2029/03/03 00:00:00+00,39.977206164852234,-75.23065353794271,4,7
041255301,2025-01-01,Inactive,5425 LANSDOWNE AVE,2.0,1,1,Lead-Safe,Certified,2025/02/06 00:00:00+00,2029/02/06 00:00:00+00,39.97720061582011,-75.23071014349566,4,7
041255401,2025-01-01,Inactive,5427 LANSDOWNE AVE,2.0,1,1,Lead-Safe,Certified,2025/02/06 00:00:00+00,2029/02/06 00:00:00+00,39.97719299956602,-75.2307662834739,4,7
041255505,2025-01-01,Inactive,5429 LANSDOWNE AVE,3.0,1,1,Lead-Safe,Certified,2021/11/12 00:00:00+00,2025/11/12 00:00:00+00,39.97718813534016,-75.23082309900478,4,7
041260000,2025-01-01,Inactive,5518 HUNTER ST,3.0,1,1,Lead-Safe,Certified,2021/10/20 00:00:00+00,2025/10/20 00:00:00+00,39.97737002215404,-75.23255649304147,4,7
041260405,2025-01-01,Inactive,5526 HUNTER ST,3.0,1,1,Lead-Safe,Certified,2025/01/30 00:00:00+00,2029/01/30 00:00:00+00,39.977346768189015,-75.23278329615377,4,7
041263800,2025-01-01,Inactive,5515 HUNTER ST,3.0,1,1,Lead-Safe,Certified,2025/01/30 00:00:00+00,2029/01/30 00:00:00+00,39.97774322939531,-75.232693579371,4,7
041264001,2025-01-01,Inactive,5519 HUNTER ST,2.0,1,1,Lead-Safe,Certified,2025/03/11 00:00:00+00,2029/03/11 00:00:00+00,39.97773175144719,-75.23280381860559,4,7
041264300,2025-01-01,Inactive,5525 HUNTER ST,2.0,1,1,Lead-Safe,Certified,2025/01/30 00:00:00+00,2029/01/30 00:00:00+00,39.977697865603346,-75.23311423851608,4,7
041275800,2002-01-01,Inactive,5514 W Oxford St,,1,0,,,,,39.979543892397174,-75.23287844382068,4,7
041284100,2002-01-01,Inactive,1400 N 54TH ST,1.0,1,1,Lead-Safe,Expired,2021/05/05 00:00:00+00,2025/05/05 00:00:00+00,39.97399720346579,-75.22952221551141,4,7
041285400,2021-01-01,Inactive,1426 N 54TH ST,1.0,1,1,Lead-Safe,Certified,2025/03/04 00:00:00+00,2029/03/04 00:00:00+00,39.97461862400408,-75.2296218042171,4,7
041293550,2025-01-01,Inactive,1607-09 N CONESTOGA ST,,1,0,,,,,39.97741059621236,-75.23071316596744,4,7
041304000,2020-01-01,Inactive,1437 N 55TH ST,1.0,1,1,Lead-Safe,Certified,2023/01/30 00:00:00+00,2027/01/30 00:00:00+00,39.97460485207878,-75.23108143841692,4,7
041330100,2022-01-01,Inactive,1529 N ALLISON ST,1.0,7,1,Lead-Safe,Expired,2021/04/27 00:00:00+00,2025/04/27 00:00:00+00,39.97589864945493,-75.23235741517524,4,7
042004600,2020-01-01,Inactive,5743 MARKET ST,,1,0,Lead-Safe,Certified,2025/01/03 00:00:00+00,2029/01/03 00:00:00+00,39.961673588886896,-75.2363036642422,4,7
042015400,2022-01-01,Inactive,5728 FILBERT ST,1.0,7,1,Lead-Safe,Expired,2021/06/09 00:00:00+00,2025/06/09 00:00:00+00,39.96226504254977,-75.23557299984512,4,7
042015500,2022-01-01,Inactive,5730 FILBERT ST,1.0,7,1,Lead-Safe,Certified,2021/12/21 00:00:00+00,2025/12/21 00:00:00+00,39.96227169561491,-75.23562591742655,4,7
042021300,2022-01-01,Inactive,5747 FILBERT ST,1.0,7,1,Lead-Safe,Expired,2021/05/18 00:00:00+00,2025/05/18 00:00:00+00,39.96257645304714,-75.23600914233518,4,7
042035400,2022-01-01,Inactive,5737 ARCH ST,1.0,7,1,Lead-Safe,Expired,2021/05/19 00:00:00+00,2025/05/19 00:00:00+00,39.96317283034681,-75.23573866201345,4,7
042064700,2022-01-01,Inactive,17 N ITHAN ST,1.0,7,1,Lead-Safe,Expired,2021/04/27 00:00:00+00,2025/04/27 00:00:00+00,39.96154876779534,-75.23327235978195,4,7
042097500,2022-01-01,Inactive,130 N WANAMAKER ST,1.0,7,1,Lead-Safe,Expired,2021/05/28 00:00:00+00,2025/05/28 00:00:00+00,39.96386167392447,-75.23718861109833,4,7
042122500,2021-01-01,Inactive,123 N SALFORD ST,,1,0,,Not Certified,,,39.96396866205397,-75.23946041159002,4,7
042136100,2022-01-01,Inactive,157 N 60TH ST,1.0,7,1,Lead-Safe,Expired,2021/04/27 00:00:00+00,2025/04/27 00:00:00+00,39.964789730673175,-75.23991498057252,4,7
