,nhpd_property_id,parcel_number,HUD Property ID,HUD Subsidy ID,NHPD Property ID,NHPD Subsidy ID,Subsidy Status,Subsidy Name,Subsidy Subname,Start Date,End Date,Assisted Units,Property Name,Street Address,City,State,Zip Code,Longitude,Latitude,Owner Name,Owner Type,Manager Name,Manager Type,0-1 Bedroom Units,Two Bedroom Units,Three+ Bedroom Units,Target Population,Earliest Construction Date,Latest Construction Date,Rent to FMR Ratio,Known Total Units,Renewal Type Name,Inactive Status Description,Construction Type,Unpaid Principal Balance,Renewal Name,Renewal ID,SOA Code
0,1161177,886905910,,765701043,1161177,94f76b9f-54df-ef11-80e0-005056aa66bf,Active,National Housing Trust Fund,National Housing Trust Fund,10/27/2021,2051-10-27,15,CASA INDIANA,2935 N 2ND ST,PHILADELPHIA,PA,19133,,,,,,,,,,,,,,15,,,New Construction Only,,,,
1,1161177,886905910,,PAA20201004,1161177,7bbb936d-1546-ee11-80c8-005056ba3ab9,Active,LIHTC,,01/01/2020,2060-01-01,50,CASA INDIANA,2935 N 2ND ST,PHILADELPHIA,PA,19133,-75.13388,39.994995,,,,,50,0,0,Elderly or disabled,,,,50,,,New Construction,,,,
2,1161177,886905910,,PA002000185,1161177,29598fa8-defa-eb11-83c6-005056ba3ab9,Active,Public Housing,Public Housing,12/30/1899,,50,CASA INDIANA,2935 N 2ND ST,PHILADELPHIA,PA,19133,-75.13388,39.994995,Philadelphia Housing Authority,Public Entity,Philadelphia Housing Authority,Public Entity,,,,Eldery or Disabled,1/1/2020,,,50,,,,,,,
3,1084711,886810424,,PAA2006155,1084711,ebda9ddc-cdff-e611-8115-74d435edc0c2,Active,LIHTC,4% and 9% Tax Credit,01/01/2006,2036-01-01,53,SUSQUEHANNA VILLAGE,1421 W SUSQUEHANNA AVE,PHILADELPHIA,PA,19121,-75.157135,39.986587,FRANCISVILLE SENIORS LP,Non-Profit,,,20,6,27,Family,,,,53,,,New Construction,1139681,,,
4,1084711,886810417,,PAA2006155,1084711,ebda9ddc-cdff-e611-8115-74d435edc0c2,Active,LIHTC,4% and 9% Tax Credit,01/01/2006,2036-01-01,53,SUSQUEHANNA VILLAGE,1421 W SUSQUEHANNA AVE,PHILADELPHIA,PA,19121,-75.157135,39.986587,FRANCISVILLE SENIORS LP,Non-Profit,,,20,6,27,Family,,,,53,,,New Construction,1139681,,,
5,1084711,886000170,,PAA2006155,1084711,ebda9ddc-cdff-e611-8115-74d435edc0c2,Active,LIHTC,4% and 9% Tax Credit,01/01/2006,2036-01-01,53,SUSQUEHANNA VILLAGE,1421 W SUSQUEHANNA AVE,PHILADELPHIA,PA,19121,-75.157135,39.986587,FRANCISVILLE SENIORS LP,Non-Profit,,,20,6,27,Family,,,,53,,,New Construction,1139681,,,
6,1083769,162262800,,PAA1988500,1083769,350dd9a6-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,GARNET HOUSE,2753 N GARNET ST,PHILADELPHIA,PA,19132,-75.16262,39.996105,SIDNEY SMALL,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
7,1083769,162050100,,PAA1988500,1083769,350dd9a6-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,GARNET HOUSE,2753 N GARNET ST,PHILADELPHIA,PA,19132,-75.16262,39.996105,SIDNEY SMALL,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
8,1083769,371195500,,PAA1988500,1083769,350dd9a6-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,GARNET HOUSE,2753 N GARNET ST,PHILADELPHIA,PA,19132,-75.16262,39.996105,SIDNEY SMALL,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
9,1083769,372267900,,PAA1988500,1083769,350dd9a6-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,GARNET HOUSE,2753 N GARNET ST,PHILADELPHIA,PA,19132,-75.16262,39.996105,SIDNEY SMALL,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
