,parcel_number,parcel_address,num_associated_hud_properties,cartodb_id,objectid,violationnumber,violationcode,addressobjectid,violationdate,posse_jobid,violationstatus,casetype,the_geom,the_geom_webmercator,parcel_id_num,casenumber,casecreateddate,casecompleteddate,council_district,casestatus,caseresponsibility,caseprioritydesc,violationcodetitle,violationresolutiondate,violationresolutioncode,mostrecentinvestigation,publicnov,opa_account_num,address,unit_type,unit_num,zip,censustract,opa_owner,systemofrecord,geocode_x,geocode_y,lng,lat
0,252334400,3119 AGATE ST,1,91175,92980,VI-2020-037970,9-3905,15842122,2020-09-25 04:00:00.000000,273687716,CLOSED,NOTICE OF VIOLATION,0101000020E61000009FE58A87F7C652C05AB321E67DFE4340,0101000020110F00005A6DE6F41DE55FC126530F8B398E5241,309037,CF-2020-066867,2020-09-25 13:23:58.000000,,1,"COMPLIED, BALANCE DUE",PROPERTY MAINTENANCE INVESTIGATOR,STANDARD,VACANT STRUCTURE LICENSE,2023-03-30 04:00:00.000000,CLOSED - REISSUED/REWRITTEN,2023-04-21 19:44:11.000000,,252334400,3119 AGATE ST,,,19134-4419,017900,2255 E CLEARFIELD ST LLC,ECLIPSE,2708461.13074671,249631.1029588089,-75.1088579994598,39.98821713109528
1,886651600,5630-40 WYALUSING AVE,1,91399,93200,VI-2020-038223,PM15-606.2,129215534,2020-09-25 04:00:00.000000,273922214,COMPLIED,NOTICE OF VIOLATION,0101000020E6100000FBFC38BEF0CE52C05B5D5050F1FB4340,0101000020110F0000854DD029A9F25FC1EF1B6E43668B5241,531919,CF-2020-067154,2020-09-25 19:14:34.000000,2020-12-08 21:12:38.000000,4,CLOSED,PROPERTY MAINTENANCE INVESTIGATOR,STANDARD,ELEVATORS,2020-12-08 05:00:00.000000,COMPLIED - OWNER REPAIR,2020-12-08 21:12:38.000000,,886651600,5630-40 WYALUSING AVE,,,19131-4803,010200,5630 WYALUSING LLC,ECLIPSE,2673772.67995679,241359.958636164,-75.23344379010443,39.968301810494005
2,886651600,5630-40 WYALUSING AVE,1,91400,93201,VI-2020-038237,FC-13-1006.2,129215534,2020-09-25 04:00:00.000000,273922214,COMPLIED,NOTICE OF VIOLATION,0101000020E6100000FBFC38BEF0CE52C05B5D5050F1FB4340,0101000020110F0000854DD029A9F25FC1EF1B6E43668B5241,531919,CF-2020-067154,2020-09-25 19:14:34.000000,2020-12-08 21:12:38.000000,4,CLOSED,PROPERTY MAINTENANCE INVESTIGATOR,STANDARD,ILLUMINATION LEVEL,2020-12-08 05:00:00.000000,COMPLIED - OWNER REPAIR,2020-12-08 21:12:38.000000,,886651600,5630-40 WYALUSING AVE,,,19131-4803,010200,5630 WYALUSING LLC,ECLIPSE,2673772.67995679,241359.958636164,-75.23344379010443,39.968301810494005
3,886651600,5630-40 WYALUSING AVE,1,91401,93202,VI-2020-038242,PM15-305.3,129215534,2020-09-25 04:00:00.000000,273922214,COMPLIED,NOTICE OF VIOLATION,0101000020E6100000FBFC38BEF0CE52C05B5D5050F1FB4340,0101000020110F0000854DD029A9F25FC1EF1B6E43668B5241,531919,CF-2020-067154,2020-09-25 19:14:34.000000,2020-12-08 21:12:38.000000,4,CLOSED,PROPERTY MAINTENANCE INVESTIGATOR,STANDARD,INTERIOR SURFACES,2020-12-08 05:00:00.000000,COMPLIED - OWNER REPAIR,2020-12-08 21:12:38.000000,,886651600,5630-40 WYALUSING AVE,,,19131-4803,010200,5630 WYALUSING LLC,ECLIPSE,2673772.67995679,241359.958636164,-75.23344379010443,39.968301810494005
4,591068400,936 E PRICE ST,1,93310,95514,VI-2020-040803,PM15-302.4,15466798,2020-10-07 04:00:00.000000,277631771,COMPLIED,NOTICE OF VIOLATION,0101000020E6100000A098F81976CA52C07705594833064440,0101000020110F0000BB6D287A0DEB5FC172C7CFFCC5965241,34015,CF-2020-070655,2020-10-07 20:53:25.000000,2020-12-16 13:41:37.000000,8,CLOSED,CLIP,STANDARD,EXTERIOR AREA WEEDS,2020-11-12 05:00:00.000000,COMPLIED - BY ENFORCEMENT ACTION,2020-10-27 13:51:40.000000,,591068400,936 E PRICE ST,,,19138-1720,024800,ELEVENTH STREET LLC,ECLIPSE,2692525.8787658503,271107.090886928,-75.16345834042522,40.04844002100702
5,591068400,936 E PRICE ST,1,93311,95515,VI-2020-040804,PM15-308.1,15466798,2020-10-07 04:00:00.000000,277631771,COMPLIED,NOTICE OF VIOLATION,0101000020E6100000A098F81976CA52C07705594833064440,0101000020110F0000BB6D287A0DEB5FC172C7CFFCC5965241,34015,CF-2020-070655,2020-10-07 20:53:25.000000,2020-12-16 13:41:37.000000,8,CLOSED,CLIP,STANDARD,RUBBISH & GARBAGE,2020-11-12 05:00:00.000000,COMPLIED - BY ENFORCEMENT ACTION,2020-10-27 13:51:40.000000,,591068400,936 E PRICE ST,,,19138-1720,024800,ELEVENTH STREET LLC,ECLIPSE,2692525.8787658503,271107.090886928,-75.16345834042522,40.04844002100702
6,886650601,1204-12 LOCUST ST,1,93464,95664,VI-2020-041002,FC-13-907.5.1,128277510,2020-10-08 04:00:00.000000,277975464,COMPLIED,NOTICE OF VIOLATION,0101000020E61000002717F5E450CA52C09796F5424BF94340,0101000020110F000079B3F646CEEA5FC1A97C22FB76885241,247429,CF-2020-070970,2020-10-08 19:01:40.000000,2021-04-19 02:59:56.000000,1,CLOSED,FIRE SAFETY INVESTIGATOR,STANDARD,PULL STATION SIGNS,2021-04-13 04:00:00.000000,COMPLIED - OWNER REPAIR,2021-04-19 02:59:56.000000,,886650601,1204-12 LOCUST ST,,,19107-5605,000901,WASHINGTON SQUARE WEST PR,ECLIPSE,2694237.9766500103,234410.622783684,-75.1611874001943,39.94760930053342
7,886650601,1204-12 LOCUST ST,1,93465,95665,VI-2020-041003,PM15-304.6,128277510,2020-10-08 04:00:00.000000,277975464,COMPLIED,NOTICE OF VIOLATION,0101000020E61000002717F5E450CA52C09796F5424BF94340,0101000020110F000079B3F646CEEA5FC1A97C22FB76885241,247429,CF-2020-070970,2020-10-08 19:01:40.000000,2021-04-19 02:59:56.000000,1,CLOSED,FIRE SAFETY INVESTIGATOR,STANDARD,EXTERIOR STRUCTURE WALLS,2021-04-13 04:00:00.000000,COMPLIED - OWNER REPAIR,2021-04-19 02:59:56.000000,,886650601,1204-12 LOCUST ST,,,19107-5605,000901,WASHINGTON SQUARE WEST PR,ECLIPSE,2694237.9766500103,234410.622783684,-75.1611874001943,39.94760930053342
8,886650601,1204-12 LOCUST ST,1,93466,95666,VI-2020-041004,PM15-304.13,128277510,2020-10-08 04:00:00.000000,277975464,COMPLIED,NOTICE OF VIOLATION,0101000020E61000002717F5E450CA52C09796F5424BF94340,0101000020110F000079B3F646CEEA5FC1A97C22FB76885241,247429,CF-2020-070970,2020-10-08 19:01:40.000000,2021-04-19 02:59:56.000000,1,CLOSED,FIRE SAFETY INVESTIGATOR,STANDARD,"EXTERIOR STRUCTURE WINDOWS, SKYLIGHTS DOOR FRAMES",2021-04-13 04:00:00.000000,COMPLIED - OWNER REPAIR,2021-04-19 02:59:56.000000,,886650601,1204-12 LOCUST ST,,,19107-5605,000901,WASHINGTON SQUARE WEST PR,ECLIPSE,2694237.9766500103,234410.622783684,-75.1611874001943,39.94760930053342
9,886650601,1204-12 LOCUST ST,1,93467,95667,VI-2020-041009,PM15-305.3,128277510,2020-10-08 04:00:00.000000,277975464,COMPLIED,NOTICE OF VIOLATION,0101000020E61000002717F5E450CA52C09796F5424BF94340,0101000020110F000079B3F646CEEA5FC1A97C22FB76885241,247429,CF-2020-070970,2020-10-08 19:01:40.000000,2021-04-19 02:59:56.000000,1,CLOSED,FIRE SAFETY INVESTIGATOR,STANDARD,INTERIOR SURFACES,2021-04-13 04:00:00.000000,COMPLIED - OWNER REPAIR,2021-04-19 02:59:56.000000,,886650601,1204-12 LOCUST ST,,,19107-5605,000901,WASHINGTON SQUARE WEST PR,ECLIPSE,2694237.9766500103,234410.622783684,-75.1611874001943,39.94760930053342
10,886650601,1204-12 LOCUST ST,1,93468,95668,VI-2020-041010,PM15-305.3,128277510,2020-10-08 04:00:00.000000,277975464,COMPLIED,NOTICE OF VIOLATION,0101000020E61000002717F5E450CA52C09796F5424BF94340,0101000020110F000079B3F646CEEA5FC1A97C22FB76885241,247429,CF-2020-070970,2020-10-08 19:01:40.000000,2021-04-19 02:59:56.000000,1,CLOSED,FIRE SAFETY INVESTIGATOR,STANDARD,INTERIOR SURFACES,2021-04-13 04:00:00.000000,COMPLIED - OWNER REPAIR,2021-04-19 02:59:56.000000,,886650601,1204-12 LOCUST ST,,,19107-5605,000901,WASHINGTON SQUARE WEST PR,ECLIPSE,2694237.9766500103,234410.622783684,-75.1611874001943,39.94760930053342
11,886650601,1204-12 LOCUST ST,1,93469,95669,VI-2020-041011,PM15-309.1,128277510,2020-10-08 04:00:00.000000,277975464,COMPLIED,NOTICE OF VIOLATION,0101000020E61000002717F5E450CA52C09796F5424BF94340,0101000020110F000079B3F646CEEA5FC1A97C22FB76885241,247429,CF-2020-070970,2020-10-08 19:01:40.000000,2021-04-19 02:59:56.000000,1,CLOSED,FIRE SAFETY INVESTIGATOR,STANDARD,PEST ELIMINATION INFESTATION,2021-04-13 04:00:00.000000,COMPLIED - OWNER REPAIR,2021-04-19 02:59:56.000000,,886650601,1204-12 LOCUST ST,,,19107-5605,000901,WASHINGTON SQUARE WEST PR,ECLIPSE,2694237.9766500103,234410.622783684,-75.1611874001943,39.94760930053342
12,886665000,2101 STRAHLE ST,1,95032,96438,VI-2020-041856,FC-13-906.2,15920745,2020-10-14 04:00:00.000000,279687540,COMPLIED,NOTICE OF VIOLATION,0101000020E6100000ED95D6D619C352C022FBBC5A76084440,0101000020110F0000149B3FDE8CDE5FC16112AA8848995241,498516,CF-2020-072244,2020-10-15 10:19:15.000000,2021-05-18 15:52:08.000000,10,CLOSED,PROPERTY MAINTENANCE INVESTIGATOR,STANDARD,FIRE EXTINGUISHERS TAGGED,2021-01-28 05:00:00.000000,COMPLIED - OWNER REPAIR,2021-05-18 15:52:08.000000,,886665000,2101 STRAHLE ST,,,19152-2418,033701,FEDERATION APARTMENTS INC,ECLIPSE,2724511.74488619,278505.491426002,-75.04845210033064,40.06611189105594
13,886665000,2101 STRAHLE ST,1,95033,96439,VI-2020-041857,FC-13-703.1.1,15920745,2020-10-14 04:00:00.000000,279687540,COMPLIED,NOTICE OF VIOLATION,0101000020E6100000ED95D6D619C352C022FBBC5A76084440,0101000020110F0000149B3FDE8CDE5FC16112AA8848995241,498516,CF-2020-072244,2020-10-15 10:19:15.000000,2021-05-18 15:52:08.000000,10,CLOSED,PROPERTY MAINTENANCE INVESTIGATOR,STANDARD,FIREBLOCKING/DRAFTSTOPPING,2021-01-28 05:00:00.000000,COMPLIED - OWNER REPAIR,2021-05-18 15:52:08.000000,,886665000,2101 STRAHLE ST,,,19152-2418,033701,FEDERATION APARTMENTS INC,ECLIPSE,2724511.74488619,278505.491426002,-75.04845210033064,40.06611189105594
